章名称,名称cn,级别,AP,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
搜集种火,弓·术篇 ,上级,30,敌人1|黎明之刚腕|黎明之刚腕|狂|30|9039,敌人1|黎明之刚腕|黎明之刚腕|弓|30|9843,敌人1|黎明之刚腕|黎明之刚腕|弓|30|9843,敌人1|黎明之刚腕|黎明之刚腕|弓|30|9843,敌人1|黎明之刚腕|黎明之刚腕|弓|30|9843,敌人1|黎明之刚腕|黎明之刚腕|弓|30|9843,敌人1|黎明之刚腕|黎明之刚腕|弓|30|9843,敌人1|黎明之刚腕|黎明之刚腕|弓|30|9843,敌人1|黎明之神腕|黎明之神腕|弓|30|24078
搜集种火,弓·术篇 ,超级,40,敌人1|黎明之神腕|黎明之神腕|弓|40|23716,敌人1|黎明之神腕|黎明之神腕|弓|40|23716,敌人1|黎明之神腕|黎明之神腕|狂|40|21780,敌人1|黎明之神腕|黎明之神腕|弓|40|23716,敌人1|黎明之神腕|黎明之神腕|弓|40|23716,敌人1|黎明之神腕|黎明之神腕|弓|40|23716,敌人1|黎明之神腕|黎明之神腕|弓|40|23716,敌人1|黎明之神腕|黎明之神腕|弓|40|23716,敌人1|黎明之神腕|黎明之神腕|弓|50|29596
搜集种火,随机篇 ,初级,10,敌人1|黎明之手|黎明之手|他|10|1428,敌人1|黎明之手|黎明之手|他|10|1428,敌人1|黎明之手|黎明之手|他|10|1428,敌人1|黎明之手|黎明之手|他|10|1428,敌人1|黎明之腕|黎明之腕|他|10|2652,敌人1|黎明之手|黎明之手|他|10|1428,敌人1|黎明之腕|黎明之腕|他|10|2652,敌人1|黎明之手|黎明之手|他|10|1428,敌人1|黎明之腕|黎明之腕|他|25|4569
搜集种火,随机篇 ,中级,20,敌人1|黎明之腕|黎明之腕|他|20|4692,敌人1|黎明之腕|黎明之腕|他|20|4692,敌人1|黎明之腕|黎明之腕|他|20|4692,敌人1|黎明之腕|黎明之腕|他|20|4692,敌人1|黎明之刚腕|黎明之刚腕|他|20|5140,敌人1|黎明之腕|黎明之腕|他|20|4692,敌人1|黎明之腕|黎明之腕|他|20|4692,敌人1|黎明之腕|黎明之腕|他|20|4692,敌人1|黎明之刚腕|黎明之刚腕|他|30|7588
搜集种火,随机篇 ,上级,30,敌人1|黎明之刚腕|黎明之刚腕|他|30|10244,敌人1|黎明之刚腕|黎明之刚腕|他|30|10244,敌人1|黎明之刚腕|黎明之刚腕|他|30|10244,敌人1|黎明之刚腕|黎明之刚腕|他|30|10244,敌人1|黎明之刚腕|黎明之刚腕|他|30|10244,敌人1|黎明之刚腕|黎明之刚腕|他|30|10244,敌人1|黎明之刚腕|黎明之刚腕|他|30|10244,敌人1|黎明之刚腕|黎明之刚腕|他|30|10244,敌人1|黎明之神腕|黎明之神腕|他|40|33323
搜集种火,随机篇 ,超级,40,敌人1|黎明之神腕|黎明之神腕|他|40|24684,敌人1|黎明之神腕|黎明之神腕|他|40|24684,敌人1|黎明之神腕|黎明之神腕|他|40|24684,敌人1|黎明之神腕|黎明之神腕|他|40|24684,敌人1|黎明之神腕|黎明之神腕|他|40|24684,敌人1|黎明之神腕|黎明之神腕|他|40|24684,敌人1|黎明之神腕|黎明之神腕|他|40|24684,敌人1|黎明之神腕|黎明之神腕|他|40|24684,敌人1|黎明之神腕|黎明之神腕|他|50|30804
修炼场,周一 弓之修炼场,初级,10,敌人1|骷髅兵|骷髅兵|弓|18|4116,敌人1|骷髅兵|骷髅兵|弓|18|4116,敌人1|半人马|半人马|弓|15|3216,敌人1|尤瑞艾莉|影从者|弓|23|7553,敌人1|龙牙兵|龙牙兵|弓|14|4189,敌人1|龙牙兵|龙牙兵|弓|14|4189,敌人1|罗宾汉|从者|弓|28|25509,敌人1|卫宫|影从者|弓|24|8389,
修炼场,周一 弓之修炼场,中级,20,敌人1|亚马逊人|亚马逊人|弓|28|5371,敌人1|半人马|半人马|弓|26|5371,敌人1|亚马逊人|亚马逊人|弓|28|5371,敌人1|骷髅兵|骷髅兵|弓|33|8467,敌人1|骷髅兵|骷髅兵|弓|33|8467,敌人1|半人马|半人马|弓|15|6914,敌人1|阿塔兰忒|从者|弓|45|54830,敌人1|亚马逊队长|亚马逊队长|弓|28|9621,
修炼场,周一 弓之修炼场,上级,30,敌人1|亚马逊人|亚马逊人|弓|28|6266,敌人1|亚马逊人|亚马逊人|弓|28|6266,敌人1|半人马骑士|半人马骑士|弓|28|6266,敌人1|凝视者|凝视者|弓|28|31240,敌人1|亚马逊人|亚马逊人|弓|25|23284,敌人1|亚马逊队长|亚马逊队长|弓|45|20455,敌人1|卫宫|从者|弓|58|105910,敌人1|阿塔兰忒|从者|弓|55|10991,
修炼场,周一 弓之修炼场,超级,40,敌人1|亚马逊人|亚马逊人|弓|38|8427,敌人1|亚马逊人|亚马逊人|弓|38|8427,敌人1|半人马骑士|半人马骑士|弓|35|7927,敌人1|凝视者|凝视者|弓|38|61540,敌人1|亚马逊女王|亚马逊女王|弓|45|23284,敌人1|亚马逊女王|亚马逊女王|弓|63|20891,敌人1|吉尔伽美什|从者|弓|64|196636,敌人1|阿拉什|影从者|弓|60|28488,
修炼场,周二 枪之修炼场,初级,10,敌人1|骷髅兵|骷髅兵|枪|18|3427,敌人1|骷髅兵|骷髅兵|枪|18|3427,敌人1|人工生命体|人工生命体|枪|15|3219,敌人1|武藏坊弁庆|影从者|枪|25|7211,敌人1|骷髅兵|骷髅兵|枪|18|5140,敌人1|人工生命体|人工生命体|枪|15|3304,敌人1|库·丘林|从者|枪|28|20229,敌人1|伊丽莎白·巴托里|影从者|枪|22|8189,
修炼场,周二 枪之修炼场,中级,20,敌人1|骷髅兵|骷髅兵|枪|28|4426,敌人1|骷髅兵|骷髅兵|枪|28|4426,敌人1|骷髅兵|骷髅兵|枪|28|4426,敌人1|狼人|狼人|枪|22|8022,敌人1|狼人|狼人|枪|22|8022,敌人1|骷髅兵|骷髅兵|枪|22|6630,敌人1|罗穆路斯|从者|枪|45|62520,敌人1|狼人|狼人|枪|35|9418,
修炼场,周二 枪之修炼场,上级,30,敌人1|亚马逊人|亚马逊人|枪|28|7454,敌人1|亚马逊人|亚马逊人|枪|28|7454,敌人1|人工生命体原型|人工生命体原型|枪|15|6954,敌人1|双角兽|双角兽|枪|20|30018,敌人1|亚马逊女王|亚马逊女王|枪|40|12117,敌人1|武藏坊弁庆|影从者|枪|45|9936,敌人1|库·丘林|从者|枪|63|102900,敌人1|亚马逊女王|亚马逊女王|枪|42|12016,
修炼场,周二 枪之修炼场,超级,40,敌人1|亚马逊人|亚马逊人|枪|38|8771,敌人1|人工生命体原型|人工生命体原型|枪|38|8771,敌人1|亚马逊人|亚马逊人|枪|38|8771,敌人1|双角兽|双角兽|枪|38|53323,敌人1|亚马逊女王|亚马逊女王|枪|43|20263,敌人1|亚马逊队长|亚马逊队长|枪|38|20644,敌人1|伊丽莎白·巴托里|从者|枪|70|180333,敌人1|亚马逊女王|亚马逊女王|枪|46|20128,
修炼场,周三 狂之修炼场,初级,10,敌人1|魔偶|魔偶|狂|19|5060,敌人1|魔偶|魔偶|狂|15|5443,敌人1|魔偶|魔偶|狂|15|5443,敌人1|石魔偶|石魔偶|狂|16|5903,敌人1|魔偶|魔偶|狂|16|5060,敌人1|斯巴达克斯|影从者|狂|26|7907,敌人1|清姬|从者|狂|28|27542,敌人1|石魔偶|石魔偶|狂|22|9128,
修炼场,周三 狂之修炼场,中级,20,敌人1|魔偶|魔偶|狂|26|5740,敌人1|石魔偶|石魔偶|狂|24|6201,敌人1|石魔偶|石魔偶|狂|24|6201,敌人1|石魔偶|石魔偶|狂|18|7163,敌人1|石魔偶|石魔偶|狂|38|10835,敌人1|奇美拉|奇美拉|狂|25|15309,敌人1|弗拉德三世|从者|狂|43|60515,敌人1|石魔偶|石魔偶|狂|56|11311,
修炼场,周三 狂之修炼场,上级,30,敌人1|石魔偶|石魔偶|狂|28|7769,敌人1|金属魔偶|金属魔偶|狂|28|7229,敌人1|魔偶|魔偶|狂|28|6659,敌人1|石魔偶|石魔偶|狂|30|8612,敌人1|水晶魔偶|水晶魔偶|狂|30|14256,敌人1|奇美拉|奇美拉|狂|30|31893,敌人1|玉藻猫|从者|狂|62|92649,敌人1|卡利古拉|从者|狂|60|12995,
修炼场,周三 狂之修炼场,超级,40,敌人1|石魔偶|石魔偶|狂|34|8334,敌人1|金属魔偶|金属魔偶|狂|34|10706,敌人1|魔偶|魔偶|狂|34|5953,敌人1|石魔偶|石魔偶|狂|38|19348,敌人1|石魔偶|石魔偶|狂|50|27385,敌人1|奇美拉|奇美拉|狂|45|61236,敌人1|兰斯洛特|从者|狂|68|207213,敌人1|阿斯忒里俄斯|从者|狂|68|29281,
修炼场,周四 骑之修炼场,初级,10,敌人1|双足飞龙|双足飞龙|骑|12|3380,敌人1|双足飞龙|双足飞龙|骑|12|3380,敌人1|恐惧飞龙|恐惧飞龙|骑|9|4468,敌人1|爱德华·蒂奇|影从者|骑|27|8191,敌人1|恐惧飞龙|恐惧飞龙|骑|12|5061,敌人1|恐惧飞龙|恐惧飞龙|骑|12|5061,敌人1|美杜莎|从者|骑|28|19693,敌人1|亚历山大|影从者|骑|26|7419,
修炼场,周四 骑之修炼场,中级,20,敌人1|恐惧飞龙|恐惧飞龙|骑|20|5006,敌人1|双足飞龙|双足飞龙|骑|24|4535,敌人1|半人马|半人马|骑|23|4431,敌人1|恐惧飞龙|恐惧飞龙|骑|22|7638,敌人1|玛丽·安托瓦内特|影从者|骑|45|7752,敌人1|恶魔飞龙|恶魔飞龙|骑|15|7776,敌人1|牛若丸|从者|骑|43|53954,敌人1|布狄卡|影从者|骑|40|9777,
修炼场,周四 骑之修炼场,上级,30,敌人1|恶魔飞龙|恶魔飞龙|骑|28|11612,敌人1|双足飞龙|双足飞龙|骑|32|5388,敌人1|恐惧飞龙|恐惧飞龙|骑|28|5814,敌人1|龙|龙|骑|34|47278,敌人1|影从者|影从者|骑|62|11437,敌人1|恶魔飞龙|恶魔飞龙|骑|28|11612,敌人1|玛尔达|从者|骑|67|101353,敌人1|乔尔乔斯|从者|骑|60|17232,
修炼场,周四 骑之修炼场,超级,40,敌人1|恶魔飞龙|恶魔飞龙|骑|34|17625,敌人1|半人马骑士|半人马骑士|骑|36|9017,敌人1|恐惧飞龙|恐惧飞龙|骑|36|9443,敌人1|龙|龙|骑|38|82408,敌人1|半人马骑士|半人马骑士|骑|45|18839,敌人1|恶魔飞龙|恶魔飞龙|骑|34|17625,敌人1|玛丽·安托瓦内特|从者|骑|77|185288,敌人1|布狄卡|从者|骑|75|21463,
修炼场,周五 术之修炼场,初级,10,敌人1|蛇女|蛇女|术|15|3211,敌人1|蛇女|蛇女|术|15|3211,,敌人1|沃尔夫冈·阿马德乌斯·莫扎特|影从者|术|28|6052,敌人1|蛇女|蛇女|术|15|3640,敌人1|梅菲斯托费勒斯|影从者|术|28|5770,敌人1|吉尔·德·雷(Caster)|从者|术|28|28567,敌人1|美狄亚|影从者|术|28|5410,
修炼场,周五 术之修炼场,中级,20,敌人1|蛇女|蛇女|术|21|4766,敌人1|蛇女|蛇女|术|21|4766,,敌人1|梅菲斯托费勒斯|影从者|术|39|8731,敌人1|蛇女|蛇女|术|23|7494,敌人1|吉尔·德·雷(Caster)|影从者|术|38|8836,敌人1|库·丘林(Caster)|从者|术|41|59791,敌人1|威廉·莎士比亚|影从者|术|39|8664,
修炼场,周五 术之修炼场,上级,30,敌人1|蛇女|蛇女|术|32|5418,敌人1|蛇女|蛇女|术|32|5418,,敌人1|汉斯·克里斯蒂安·安徒生|影从者|术|65|10180,敌人1|恶魔|恶魔|术|40|31240,敌人1|吉尔·德·雷(Caster)|影从者|术|66|10864,敌人1|美狄亚|从者|术|64|108359,敌人1|沃尔夫冈·阿马德乌斯·莫扎特|影从者|术|62|10983,
修炼场,周五 术之修炼场,超级,40,敌人1|那伽|那伽|术|33|13825,敌人1|魔导书|魔导书|术|35|13013,,敌人1|魔导书|魔导书|术|35|11581,敌人1|恶魔|恶魔|术|41|64857,敌人1|梅菲斯托费勒斯|影从者|术|67|20441,敌人1|诸葛孔明〔埃尔梅罗Ⅱ世〕|从者|术|67|166716,敌人1|吉尔·德·雷(Caster)|从者|术|67|22001,
修炼场,周六 杀之修炼场,初级,10,敌人1|龙牙兵|龙牙兵|杀|16|3313,敌人1|龙牙兵|龙牙兵|杀|16|3313,敌人1|鬼魂|鬼魂|杀|14|4467,敌人1|咒腕哈桑|影从者|杀|25|6733,敌人1|鬼魂|鬼魂|杀|14|4467,敌人1|斯忒诺|影从者|杀|28|7724,敌人1|佐佐木小次郎|从者|杀|29|25238,敌人1|荆轲|影从者|杀|29|7653,
修炼场,周六 杀之修炼场,中级,20,敌人1|龙牙兵|龙牙兵|杀|22|3736,敌人1|自动人偶|自动人偶|杀|21|4956,敌人1|狼人|狼人|杀|21|5956,敌人1|哥布林|哥布林|杀|16|6051,敌人1|狼人|狼人|杀|28|8636,敌人1|狼人|狼人|杀|28|8636,敌人1|荆轲|从者|杀|42|56991,敌人1|恐怖鬼魂|恐怖鬼魂|杀|38|8302,
修炼场,周六 杀之修炼场,上级,30,敌人1|哥布林|哥布林|杀|28|6056,敌人1|哥布林|哥布林|杀|28|6056,敌人1|哥布林|哥布林|杀|28|6056,敌人1|恐怖鬼魂|恐怖鬼魂|杀|28|9972,敌人1|噬魂者|噬魂者|杀|38|30040,敌人1|古代鬼魂|古代鬼魂|杀|28|10288,敌人1|斯忒诺|从者|杀|64|104187,敌人1|佐佐木小次郎|从者|杀|66|10761,
修炼场,周六 杀之修炼场,超级,40,敌人1|哥布林|哥布林|杀|38|8740,敌人1|哥布林|哥布林|杀|38|8740,敌人1|哥布林|哥布林|杀|38|8740,敌人1|古代鬼魂|古代鬼魂|杀|38|25721,敌人1|噬魂者|噬魂者|杀|38|60827,敌人1|恐怖鬼魂|恐怖鬼魂|杀|55|25721,敌人1|卡米拉|从者|杀|68|137048,敌人1|剧院魅影|从者|杀|82|20405,
修炼场,周日 剑之修炼场,初级,10,敌人1|骷髅兵|骷髅兵|剑|18|4242,敌人1|骷髅兵|骷髅兵|剑|18|4242,敌人1|大寄居蟹|大寄居蟹|剑|18|3393,敌人1|阿尔托莉雅·潘德拉贡|影从者|剑|25|10274,敌人1|龙牙兵|龙牙兵|剑|14|4317,敌人1|龙牙兵|龙牙兵|剑|14|4317,敌人1|阿尔托莉雅·潘德拉贡〔Lily〕|从者|剑|28|24694,敌人1|尼禄·克劳狄乌斯|影从者|剑|25|9270,
修炼场,周日 剑之修炼场,中级,20,敌人1|狼人|狼人|剑|22|5296,敌人1|混沌机械兵_小|混沌机械兵|剑|22|4782,敌人1|大寄居蟹|大寄居蟹|剑|22|5296,敌人1|骑士迪昂|影从者|剑|40|7618,敌人1|阿蒂拉|影从者|剑|33|7567,敌人1|豹人|豹人|剑|18|6249,敌人1|尼禄·克劳狄乌斯|从者|剑|43|57031,敌人1|吉尔·德·雷|影从者|剑|40|9456,
修炼场,周日 剑之修炼场,上级,30,敌人1|亚马逊人|亚马逊人|剑|28|6458,敌人1|混沌机械兵_中|混沌机械兵|剑|28|6458,敌人1|毒寄居蟹|毒寄居蟹|剑|28|6458,敌人1|守护者|守护者|剑|34|41000,敌人1|亚马逊女王|亚马逊女王|剑|38|9879,敌人1|哥布林|哥布林|剑|24|5529,敌人1|阿尔托莉雅·潘德拉贡〔Alter〕|从者|剑|52|109871,敌人1|亚马逊女王|亚马逊女王|剑|41|11615,
修炼场,周日 剑之修炼场,超级,40,敌人1|亚马逊人|亚马逊人|剑|38|9926,敌人1|混沌机械兵_中|混沌机械兵|剑|38|9926,敌人1|毒寄居蟹|毒寄居蟹|剑|38|9926,敌人1|守护者|守护者|剑|38|80000,敌人1|亚马逊女王|亚马逊女王|剑|42|22397,敌人1|哥布林|哥布林|剑|31|8544,敌人1|阿尔托莉雅·潘德拉贡|从者|剑|61|185937,敌人1|亚马逊女王|亚马逊女王|剑|45|25497,
打开宝物库之门,打开宝物库之门,初级,10,敌人1|亡者之门|亡者之门|术|10|1372,敌人1|亡者之门|亡者之门|术|10|1372,敌人1|亡者之门|亡者之门|术|10|1372,敌人1|亡者之门|亡者之门|术|10|1372,敌人1|亡者之门|亡者之门|术|10|1372,敌人1|勇者之门|勇者之门|术|10|2548,敌人1|亡者之门|亡者之门|术|10|1372,敌人1|亡者之门|亡者之门|术|10|1372,敌人1|勇者之门|勇者之门|术|25|5488
打开宝物库之门,打开宝物库之门,中级,20,敌人1|亡者之门|亡者之门|术|20|2352,敌人1|亡者之门|亡者之门|术|20|2352,敌人1|勇者之门|勇者之门|术|20|4508,敌人1|勇者之门|勇者之门|术|20|4508,敌人1|勇者之门|勇者之门|术|20|4508,敌人1|勇者之门|勇者之门|术|20|4508,敌人1|勇者之门|勇者之门|术|20|4508,敌人1|勇者之门|勇者之门|术|20|4508,敌人1|圣者之门|圣者之门|术|20|7408
打开宝物库之门,打开宝物库之门,上级,30,敌人1|勇者之门|勇者之门|术|30|6468,敌人1|圣者之门|圣者之门|术|30|10936,敌人1|勇者之门|勇者之门|术|30|6468,敌人1|勇者之门|勇者之门|术|30|6468,敌人1|圣者之门|圣者之门|术|30|10936,敌人1|勇者之门|勇者之门|术|30|6468,敌人1|圣者之门|圣者之门|术|30|10936,敌人1|圣者之门|圣者之门|术|30|10936,敌人1|霸者之门|霸者之门|术|30|26754
打开宝物库之门,打开宝物库之门,超级,40,敌人1|圣者之门|圣者之门|术|40|14464,敌人1|霸者之门|霸者之门|术|40|23716,敌人1|圣者之门|圣者之门|术|40|14464,敌人1|圣者之门|圣者之门|术|40|14464,敌人1|圣者之门|圣者之门|术|40|14464,敌人1|霸者之门|霸者之门|术|40|23716,敌人1|霸者之门|霸者之门|术|40|23716,敌人1|霸者之门|霸者之门|术|40|23716,敌人1|霸者之门|霸者之门|术|50|29596
