,活动,章名称,地点cn,地点jp,AP,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
60,FA击退战,幼龙级,齐格飞击退战,ジークフリート撃退戦_幼竜級,40,,敌人3|齐格飞|“黑”之Saber|剑|49|260100,,,,,,,
61,FA击退战,成龙级,齐格飞击退战,ジークフリート撃退戦_成竜級,40,,敌人3|齐格飞|“黑”之Saber|剑|71|448902,,,,,,,
62,FA击退战,邪龙级,齐格飞击退战,ジークフリート撃退戦_邪竜級,40,,敌人3|齐格飞|“黑”之Saber|剑|90|679817,,,,,,,
63,FA击退战,幼龙级,阿斯托尔福击退战,アストルフォ撃退戦_幼竜級,40,,敌人3|阿斯托尔福|“黑”之Rider|骑|53|260094,,,,,,,
64,FA击退战,成龙级,阿斯托尔福击退战,アストルフォ撃退戦_成竜級,40,,敌人3|阿斯托尔福|“黑”之Rider|骑|73|454590,,,,,,,
65,FA击退战,邪龙级,阿斯托尔福击退战,アストルフォ撃退戦_邪竜級,40,,敌人3|阿斯托尔福|“黑”之Rider|骑|81|677040,,,,,,,
66,FA击退战,幼龙级,迦尔纳击退战,カルナ撃退戦_幼竜級,40,,敌人3|迦尔纳|“红”之Lancer|枪|29|260056,,,,,,,
67,FA击退战,成龙级,迦尔纳击退战,カルナ撃退戦_成竜級,40,,敌人3|迦尔纳|“红”之Lancer|枪|65|456500,,,,,,,
68,FA击退战,邪龙级,迦尔纳击退战,カルナ撃退戦_邪竜級,40,,敌人3|迦尔纳|“红”之Lancer|枪|71|692711,,,,,,,
69,FA击退战,幼龙级,塞弥拉弥斯击退战,セミラミス撃退戦_幼竜級,40,,敌人3|塞弥拉弥斯|“红”之Assassin|杀|42|260068,,,,,,,
70,FA击退战,成龙级,塞弥拉弥斯击退战,セミラミス撃退戦_成竜級,40,,敌人3|塞弥拉弥斯|“红”之Assassin|杀|54|449445,,,,,,,
71,FA击退战,邪龙级,塞弥拉弥斯击退战,セミラミス撃退戦_邪竜級,40,,敌人3|塞弥拉弥斯|“红”之Assassin|杀|60|706716,,,,,,,
72,FA击退战,幼龙级,弗拉德三世击退战,ヴラド三世撃退戦_幼竜級,40,,敌人3|弗拉德三世|“黑”之Lancer|枪|41|260089,,,,,,,
73,FA击退战,成龙级,弗拉德三世击退战,ヴラド三世撃退戦_成竜級,40,,敌人3|弗拉德三世|“黑”之Lancer|枪|53|442566,,,,,,,
74,FA击退战,邪龙级,弗拉德三世击退战,ヴラド三世撃退戦_邪竜級,40,,敌人3|弗拉德三世|“黑”之Lancer|枪|59|667182,,,,,,,
75,FA击退战,幼龙级,拟态天之杯〔剑〕讨伐战,ヘブンズフィール・ミミクリー〔剣〕討伐戦_幼竜級,40,敌人3|齐格飞|“黑”之Saber|剑|69|102129,敌人2|拟态天之杯||剑|55|156263,,,,,,,
76,FA击退战,成龙级,拟态天之杯〔剑〕讨伐战,ヘブンズフィール・ミミクリー〔剣〕討伐戦_成竜級,40,敌人3|齐格飞|“黑”之Saber|剑|71|177003,敌人2|拟态天之杯||剑|75|274265,,,,,,,
77,FA击退战,邪龙级,拟态天之杯〔剑〕讨伐战,ヘブンズフィール・ミミクリー〔剣〕討伐戦_邪竜級,40,敌人3|齐格飞|“黑”之Saber|剑|90|274120,敌人2|拟态天之杯||剑|85|409111,,,,,,,
78,FA击退战,幼龙级,拟态天之杯〔弓〕讨伐战,ヘブンズフィール・ミミクリー〔弓〕討伐戦_幼竜級,40,敌人3|喀戎|“黑”之Archer|弓|55|105658,敌人2|拟态天之杯||弓|55|156263,,,,,,,
79,FA击退战,成龙级,拟态天之杯〔弓〕讨伐战,ヘブンズフィール・ミミクリー〔弓〕討伐戦_成竜級,40,敌人3|喀戎|“黑”之Archer|弓|75|182871,敌人2|拟态天之杯||弓|75|269912,,,,,,,
80,FA击退战,邪龙级,拟态天之杯〔弓〕讨伐战,ヘブンズフィール・ミミクリー〔弓〕討伐戦_邪竜級,40,敌人3|喀戎|“黑”之Archer|弓|85|276338,敌人2|拟态天之杯||弓|85|409111,,,,,,,
81,FA击退战,幼龙级,拟态天之杯〔枪〕讨伐战,ヘブンズフィール・ミミクリー〔槍〕討伐戦_幼竜級,40,敌人3|弗拉德三世|“黑”之Lancer|枪|41|103275,敌人2|拟态天之杯||枪|55|156103,,,,,,,
82,FA击退战,成龙级,拟态天之杯〔枪〕讨伐战,ヘブンズフィール・ミミクリー〔槍〕討伐戦_成竜級,40,敌人3|弗拉德三世|“黑”之Lancer|枪|53|179010,敌人2|拟态天之杯||枪|75|269912,,,,,,,
83,FA击退战,邪龙级,拟态天之杯〔枪〕讨伐战,ヘブンズフィール・ミミクリー〔槍〕討伐戦_邪竜級,40,敌人3|弗拉德三世|“黑”之Lancer|枪|59|272646,敌人2|拟态天之杯||枪|85|406647,,,,,,,
84,FA击退战,幼龙级,拟态天之杯〔杀〕讨伐战,ヘブンズフィール・ミミクリー〔殺〕討伐戦_幼竜級,40,敌人3|开膛手杰克|“黑”之Assassin|杀|36|104107,敌人2|拟态天之杯||杀|55|156103,,,,,,,
85,FA击退战,成龙级,拟态天之杯〔杀〕讨伐战,ヘブンズフィール・ミミクリー〔殺〕討伐戦_成竜級,40,敌人3|开膛手杰克|“黑”之Assassin|杀|63|180283,敌人2|拟态天之杯||杀|75|269912,,,,,,,
86,FA击退战,邪龙级,拟态天之杯〔杀〕讨伐战,ヘブンズフィール・ミミクリー〔殺〕討伐戦_邪竜級,40,敌人3|开膛手杰克|“黑”之Assassin|杀|72|272964,敌人2|拟态天之杯||杀|85|406647,,,,,,,
87,FA击退战,幼龙级,拟态天之杯〔狂〕讨伐战,ヘブンズフィール・ミミクリー〔狂〕討伐戦_幼竜級,40,敌人3|弗兰肯斯坦|“黑”之Berserker|狂|30|106362,敌人2|拟态天之杯||狂|55|156263,,,,,,,
88,FA击退战,成龙级,拟态天之杯〔狂〕讨伐战,ヘブンズフィール・ミミクリー〔狂〕討伐戦_成竜級,40,敌人3|弗兰肯斯坦|“黑”之Berserker|狂|54|179633,敌人2|拟态天之杯||狂|75|274265,,,,,,,
89,FA击退战,邪龙级,拟态天之杯〔狂〕讨伐战,ヘブンズフィール・ミミクリー〔狂〕討伐戦_邪竜級,40,敌人3|弗兰肯斯坦|“黑”之Berserker|狂|62|277723,敌人2|拟态天之杯||狂|85|409111,,,,,,,
