章名称,名称cn,级别,名称jp,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
狩猎关卡 第5弹,凝视者,祭位级,ゲイザー・ハント_祭位級,敌人1|古代兵|士兵|弓|69|31898,敌人1|古代兵|士兵|弓|70|33987,敌人1|古代兵|士兵|弓|69|31898,敌人1|古代兵|士兵|弓|69|55314,敌人1|古代兵|士兵|弓|70|58548,敌人1|古代兵|士兵|弓|69|55314,敌人1|古代兵|士兵|弓|70|66048,敌人2|凝视者||弓|37|154231,
狩猎关卡 第5弹,凝视者,典位级,ゲイザー・ハント_典位級,敌人1|古代兵|士兵|弓|85|36436,敌人1|古代兵|士兵|弓|86|37529,敌人1|古代兵|士兵|弓|85|36436,敌人1|古代兵|士兵|弓|85|64426,敌人1|古代兵|士兵|弓|86|66146,敌人1|古代兵|士兵|弓|85|64426,敌人1|古代兵|士兵|弓|86|81218,敌人2|观察机||弓|41|198469,
狩猎关卡 第5弹,半人马,开位级,ケンタウロス・ハント_開位級,敌人1|半人马|半人马|杀|46|15787,敌人1|半人马|半人马|杀|47|16147,敌人1|半人马|半人马|杀|46|15787,敌人1|半人马|半人马|杀|47|24863,敌人1|半人马|半人马|杀|47|24863,敌人1|半人马骑士|半人马骑士|杀|39|33614,敌人1|半人马|半人马|杀|47|27596,敌人2|半人马圣骑|半人马圣骑|杀|54|115811,敌人1|半人马骑士|半人马骑士|杀|39|45304
狩猎关卡 第5弹,半人马,祭位级,ケンタウロス・ハント_祭位級,敌人1|半人马|半人马|杀|61|19434,敌人1|半人马|半人马|杀|62|20104,敌人1|半人马|半人马|杀|61|19434,敌人1|半人马|半人马|杀|62|47388,敌人1|半人马骑士|半人马骑士|杀|51|40228,敌人1|半人马骑士|半人马骑士|杀|51|40228,敌人1|半人马|半人马|杀|62|61748,敌人2|半人马圣骑|半人马圣骑|杀|64|162608,敌人1|半人马骑士|半人马骑士|杀|51|73142
狩猎关卡 第5弹,半人马,典位级,ケンタウロス・ハント_典位級,敌人1|半人马|半人马|杀|75|30305,敌人1|半人马|半人马|杀|76|31138,敌人1|半人马|半人马|杀|75|30305,敌人1|半人马骑士|半人马骑士|杀|63|53225,敌人1|半人马骑士|半人马骑士|杀|64|54149,敌人1|半人马骑士|半人马骑士|杀|63|53225,敌人1|半人马|半人马|杀|75|44158,敌人2|半人马圣骑|半人马圣骑|杀|74|213534,敌人1|半人马骑士|半人马骑士|杀|64|73756
狩猎关卡 第5弹,龙,开位级,ドラゴン・ハント_開位級,敌人1|红宝石魔偶||骑|52|14194,敌人1|红宝石魔偶||骑|53|14727,敌人1|红宝石魔偶||骑|52|14194,敌人1|红宝石魔偶||骑|52|26812,敌人1|红宝石魔偶||骑|53|27581,敌人1|红宝石魔偶||骑|52|26812,敌人1|红宝石魔偶||骑|53|51145,敌人2|龙||骑|45|149491,
狩猎关卡 第5弹,龙,祭位级,ドラゴン・ハント_祭位級,敌人1|红宝石魔偶||骑|67|25270,敌人1|红宝石魔偶||骑|68|25987,敌人1|红宝石魔偶||骑|67|25270,敌人1|红宝石魔偶||骑|67|47387,敌人1|红宝石魔偶||骑|68|48487,敌人1|红宝石魔偶||骑|67|47387,敌人1|红宝石魔偶||骑|68|72082,敌人2|龙||骑|54|195617,
狩猎关卡 第5弹,龙,典位级,ドラゴン・ハント_典位級,敌人1|红宝石魔偶||骑|84|31192,敌人1|红宝石魔偶||骑|85|31726,敌人1|红宝石魔偶||骑|84|31192,敌人1|红宝石魔偶||骑|84|51424,敌人1|红宝石魔偶||骑|85|52109,敌人1|红宝石魔偶||骑|84|51424,敌人1|红宝石魔偶||骑|85|82300,敌人2|巨龙||骑|56|254073,
狩猎关卡 第5弹,骷髅(石像),开位级,スケルトン・ハント_開位級,敌人1|骷髅兵|骷髅兵|枪|49|23192,敌人1|骷髅兵|骷髅兵|枪|50|24174,敌人1|骷髅兵|骷髅兵|枪|49|23192,敌人1|骷髅兵|骷髅兵|枪|49|30605,敌人1|骷髅兵|骷髅兵|枪|50|31728,敌人1|骷髅兵|骷髅兵|枪|49|30605,敌人2|尊贵的石像|尊贵的石像|狂|68|69975,敌人2|骸骨之王|骷髅兵之王|枪|50|76356,敌人1|骷髅兵|骷髅兵|枪|49|40242
狩猎关卡 第5弹,骷髅(石像),祭位级,スケルトン・ハント_祭位級,敌人1|骷髅兵|骷髅兵|枪|63|31760,敌人1|骷髅兵|骷髅兵|枪|64|34150,敌人1|骷髅兵|骷髅兵|枪|63|31760,敌人1|骷髅兵|骷髅兵|枪|63|41450,敌人1|骷髅兵|骷髅兵|枪|64|43438,敌人1|骷髅兵|骷髅兵|枪|63|41450,敌人2|尊贵的石像|尊贵的石像|狂|80|99901,敌人2|骸骨之王|骷髅兵之王|枪|59|153237,敌人1|骷髅兵|骷髅兵|枪|64|54913
狩猎关卡 第5弹,骷髅(石像),典位级,スケルトン・ハント_典位級,敌人1|骷髅兵|骷髅兵|枪|75|35779,敌人1|骷髅兵|骷髅兵|枪|73|35257,敌人1|骷髅兵|骷髅兵|枪|75|35779,敌人1|骷髅兵|骷髅兵|枪|76|49922,敌人1|骷髅兵|骷髅兵|枪|77|51363,敌人1|骷髅兵|骷髅兵|枪|76|49922,敌人2|尊贵的石像|尊贵的石像|狂|90|126941,敌人2|骸骨之王|骷髅兵之王|枪|69|194005,敌人1|骷髅兵|骷髅兵|枪|79|66004
狩猎关卡 第5弹,食尸鬼(石像),开位级,グール・ハント_開位級,敌人1|食尸鬼||狂|42|16194,敌人1|食尸鬼||狂|42|16963,敌人1|食尸鬼||狂|42|16194,敌人1|食尸鬼||狂|43|26066,敌人1|食尸鬼||狂|43|26066,敌人1|食尸鬼·嫉妒||狂|46|28675,敌人2|尊贵的石像|尊贵的石像|狂|68|69975,敌人2|食尸鬼·暴食||狂|55|129168,敌人1|食尸鬼·嫉妒||狂|46|32375
狩猎关卡 第5弹,食尸鬼(石像),祭位级,グール・ハント_祭位級,敌人1|食尸鬼·嫉妒||狂|59|30422,敌人1|食尸鬼||狂|55|27642,敌人1|食尸鬼||狂|55|27642,敌人1|食尸鬼||狂|55|36508,敌人1|食尸鬼·嫉妒||狂|59|38028,敌人1|食尸鬼||狂|55|36508,敌人2|尊贵的石像|尊贵的石像|狂|80|99901,敌人2|食尸鬼·暴食||狂|58|163231,敌人1|食尸鬼·嫉妒||狂|59|63302
狩猎关卡 第5弹,食尸鬼(石像),典位级,グール・ハント_典位級,敌人1|食尸鬼·嫉妒||狂|72|35144,敌人1|食尸鬼||狂|68|38553,敌人1|食尸鬼·嫉妒||狂|72|35144,敌人1|食尸鬼·嫉妒||狂|72|40812,敌人1|食尸鬼·嫉妒||狂|72|40812,敌人1|食尸鬼||狂|68|43149,敌人2|尊贵的石像|尊贵的石像|狂|90|126941,敌人2|食尸鬼·暴食||狂|67|198296,敌人1|食尸鬼||狂|68|76596
狩猎关卡 第5弹,咒书(石像),开位级,ブック・ハント_開位級,敌人1|咒语书||术|45|18915,敌人1|咒语书||术|46|19598,敌人1|咒语书||术|45|18915,敌人1|咒语书||术|46|28984,敌人1|咒语书||术|46|28984,敌人1|火焰咒书||术|38|28683,敌人2|尊贵的石像|尊贵的石像|狂|68|69975,敌人2|魔导书|魔导书|术|52|111569,敌人1|冰雪咒书||术|38|36557
狩猎关卡 第5弹,咒书(石像),祭位级,ブック・ハント_祭位級,敌人1|咒语书||术|58|26678,敌人1|咒语书||术|59|28536,敌人1|咒语书||术|58|26678,敌人1|咒语书||术|59|42276,敌人1|火焰咒书||术|49|45609,敌人1|冰雪咒书||术|50|46599,敌人2|尊贵的石像|尊贵的石像|狂|80|99901,敌人2|魔导书|魔导书|术|59|164549,敌人1|冰雪咒书||术|50|62773
狩猎关卡 第5弹,咒书(石像),典位级,ブック・ハント_典位級,敌人1|咒语书||术|72|34331,敌人1|咒语书||术|73|34796,敌人1|咒语书||术|72|34331,敌人1|火焰咒书||术|60|55786,敌人1|火焰咒书||术|61|56795,敌人1|冰雪咒书||术|61|60401,敌人2|尊贵的石像|尊贵的石像|狂|90|126941,敌人2|魔导书|魔导书|术|71|196195,敌人1|冰雪咒书||术|61|67613
狩猎关卡 第5弹,凝视者(石像),开位级,ゲイザー・ハント_開位級,敌人1|古代兵|士兵|弓|54|26710,敌人1|古代兵|士兵|弓|55|27220,敌人1|古代兵|士兵|弓|54|26710,敌人1|古代兵|士兵|弓|54|35883,敌人1|古代兵|士兵|弓|55|36550,敌人1|古代兵|士兵|弓|54|35883,敌人2|尊贵的石像|尊贵的石像|狂|68|69975,敌人2|凝视者||弓|31|123800,
狩猎关卡 第5弹,凝视者(石像),祭位级,ゲイザー・ハント_祭位級,敌人1|古代兵|士兵|弓|69|31898,敌人1|古代兵|士兵|弓|70|33987,敌人1|古代兵|士兵|弓|69|31898,敌人1|古代兵|士兵|弓|69|55314,敌人1|古代兵|士兵|弓|70|58548,敌人1|古代兵|士兵|弓|69|55314,敌人2|尊贵的石像|尊贵的石像|狂|80|99901,敌人2|凝视者||弓|37|154231,
狩猎关卡 第5弹,凝视者(石像),典位级,ゲイザー・ハント_典位級,敌人1|古代兵|士兵|弓|85|36436,敌人1|古代兵|士兵|弓|86|37529,敌人1|古代兵|士兵|弓|85|36436,敌人1|古代兵|士兵|弓|85|64426,敌人1|古代兵|士兵|弓|86|66146,敌人1|古代兵|士兵|弓|85|64426,敌人2|尊贵的石像|尊贵的石像|狂|90|126941,敌人2|观察机||弓|41|198469,
狩猎关卡 第5弹,半人马(石像),开位级,ケンタウロス・ハント_開位級,敌人1|半人马|半人马|杀|46|15787,敌人1|半人马|半人马|杀|47|16147,敌人1|半人马|半人马|杀|46|15787,敌人1|半人马|半人马|杀|47|24863,敌人1|半人马|半人马|杀|47|24863,敌人1|半人马骑士|半人马骑士|杀|39|33614,敌人2|尊贵的石像|尊贵的石像|狂|68|69975,敌人2|半人马圣骑|半人马圣骑|杀|54|115811,敌人1|半人马骑士|半人马骑士|杀|39|45304
狩猎关卡 第5弹,半人马(石像),祭位级,ケンタウロス・ハント_祭位級,敌人1|半人马|半人马|杀|61|19434,敌人1|半人马|半人马|杀|62|20104,敌人1|半人马|半人马|杀|61|19434,敌人1|半人马|半人马|杀|62|47388,敌人1|半人马骑士|半人马骑士|杀|51|40228,敌人1|半人马骑士|半人马骑士|杀|51|40228,敌人2|尊贵的石像|尊贵的石像|狂|80|99901,敌人2|半人马圣骑|半人马圣骑|杀|64|162608,敌人1|半人马骑士|半人马骑士|杀|51|73142
狩猎关卡 第5弹,半人马(石像),典位级,ケンタウロス・ハント_典位級,敌人1|半人马|半人马|杀|75|30305,敌人1|半人马|半人马|杀|76|31138,敌人1|半人马|半人马|杀|75|30305,敌人1|半人马骑士|半人马骑士|杀|63|53225,敌人1|半人马骑士|半人马骑士|杀|64|54149,敌人1|半人马骑士|半人马骑士|杀|63|53225,敌人2|尊贵的石像|尊贵的石像|狂|90|126941,敌人2|半人马圣骑|半人马圣骑|杀|74|213534,敌人1|半人马骑士|半人马骑士|杀|64|73756
狩猎关卡 第5弹,龙(石像),开位级,ドラゴン・ハント_開位級,敌人1|红宝石魔偶||骑|52|14194,敌人1|红宝石魔偶||骑|53|14727,敌人1|红宝石魔偶||骑|52|14194,敌人1|红宝石魔偶||骑|52|26812,敌人1|红宝石魔偶||骑|53|27581,敌人1|红宝石魔偶||骑|52|26812,敌人2|尊贵的石像|尊贵的石像|狂|68|69975,敌人2|龙||骑|45|149491,
狩猎关卡 第5弹,龙(石像),祭位级,ドラゴン・ハント_祭位級,敌人1|红宝石魔偶||骑|67|25270,敌人1|红宝石魔偶||骑|68|25987,敌人1|红宝石魔偶||骑|67|25270,敌人1|红宝石魔偶||骑|67|47387,敌人1|红宝石魔偶||骑|68|48487,敌人1|红宝石魔偶||骑|67|47387,敌人2|尊贵的石像|尊贵的石像|狂|80|99901,敌人2|龙||骑|54|195617,
狩猎关卡 第5弹,龙(石像),典位级,ドラゴン・ハント_典位級,敌人1|红宝石魔偶||骑|84|31192,敌人1|红宝石魔偶||骑|85|31726,敌人1|红宝石魔偶||骑|84|31192,敌人1|红宝石魔偶||骑|84|51424,敌人1|红宝石魔偶||骑|85|52109,敌人1|红宝石魔偶||骑|84|51424,敌人2|尊贵的石像|尊贵的石像|狂|90|126941,敌人2|巨龙||骑|56|254073,
