章名称,名称cn,级别,名称jp,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
狩猎关卡 第7弹,魔偶(种火),开位级,ゴーレム・ハント_開位級,敌人1|金属魔偶||狂|30|22290,敌人1|金属魔偶||狂|31|23981,敌人1|金属魔偶||狂|30|22376,敌人1|金属魔偶||狂|31|30199,敌人1|金属魔偶||狂|32|31153,敌人1|金属魔偶||狂|31|30199,敌人2|黎明之炎腕||狂|40|75423,敌人2|双子钢铁魔偶||狂|37|75395,敌人1|金属魔偶||狂|33|39662
狩猎关卡 第7弹,魔偶(种火),祭位级,ゴーレム・ハント_祭位級,敌人1|金属魔偶||狂|40|34224,敌人1|金属魔偶||狂|40|34338,敌人1|金属魔偶||狂|41|37493,敌人1|金属魔偶||狂|41|41125,敌人1|金属魔偶||狂|42|58787,敌人1|金属魔偶||狂|41|41243,敌人2|黎明之炎腕||狂|50|107796,敌人2|双子钢铁魔偶||狂|44|132952,敌人1|金属魔偶||狂|43|50340
狩猎关卡 第7弹,魔偶(种火),典位级,ゴーレム・ハント_典位級,敌人1|金属魔偶||狂|50|41304,敌人1|金属魔偶||狂|51|45109,敌人1|金属魔偶||狂|50|41304,敌人1|金属魔偶||狂|51|52385,敌人1|金属魔偶||狂|52|60812,敌人1|金属魔偶||狂|51|53840,敌人2|黎明之炎腕||狂|60|145568,敌人2|双子钢铁魔偶||狂|51|169629,敌人1|金属魔偶||狂|53|55917
狩猎关卡 第7弹,亚马逊人(种火),典位级,アマゾネス・ハント_典位級,敌人1|亚马逊人||弓|67|41941,敌人1|亚马逊队长||弓|70|45429,敌人1|亚马逊人||弓|67|41941,敌人1|亚马逊人||弓|68|53191,敌人1|亚马逊队长||弓|71|86500,敌人1|亚马逊人||弓|68|53191,敌人2|黎明之炎腕||弓|60|88060,敌人2|亚马逊女王||弓|71|160713,敌人1|亚马逊人||弓|68|55318
狩猎关卡 第7弹,禁卫兵(种火),开位级,近衛兵・ハント_開位級,敌人1|食尸鬼||狂|38|9502,敌人1|禁卫兵||杀|24|13816,敌人1|食尸鬼||狂|38|9502,敌人1|食尸鬼·嫉妒||狂|43|15640,敌人1|食尸鬼·嫉妒||狂|43|15640,敌人1|禁卫兵||杀|25|18146,敌人2|黎明之炎腕||杀|40|48905,敌人1|食尸鬼·嫉妒||狂|45|27189,敌人2|禁卫兵||杀|49|93339
狩猎关卡 第7弹,禁卫兵(种火),祭位级,近衛兵・ハント_祭位級,敌人1|食尸鬼||狂|50|15236,敌人1|禁卫兵||杀|32|19688,敌人1|食尸鬼·嫉妒||狂|53|15022,敌人1|食尸鬼||狂|51|23325,敌人1|食尸鬼·嫉妒||狂|54|23685,敌人1|禁卫兵||杀|33|28408,敌人2|黎明之炎腕||杀|50|71116,敌人1|食尸鬼||狂|55|37551,敌人2|禁卫兵||杀|55|134722
狩猎关卡 第7弹,禁卫兵(种火),典位级,近衛兵・ハント_典位級,敌人1|食尸鬼·嫉妒||狂|65|20548,敌人1|禁卫兵||杀|40|26148,敌人1|食尸鬼·嫉妒||狂|65|20548,敌人1|食尸鬼||狂|66|31022,敌人1|食尸鬼||狂|66|31022,敌人1|禁卫兵||杀|42|38956,敌人2|黎明之炎腕||杀|60|85364,敌人1|食尸鬼·嫉妒||狂|69|45529,敌人2|禁卫兵||杀|75|163068
狩猎关卡 第7弹,双角兽(种火),祭位级,バイコーン・ハント_祭位級,敌人1|杀戮猎兵||杀|33|15331,敌人1|杀戮猎兵||杀|34|19501,敌人1|杀戮猎兵||杀|33|15331,敌人1|杀戮猎兵||杀|34|23216,敌人1|杀戮猎兵||杀|35|28186,敌人1|杀戮猎兵||杀|34|23216,敌人2|黎明之炎腕||枪|50|76356,敌人2|双角兽之王||枪|45|139399,敌人1|杀戮猎兵||杀|36|37817
狩猎关卡 第7弹,双角兽(种火),典位级,バイコーン・ハント_典位級,敌人1|杀戮猎兵||杀|42|20624,敌人1|杀戮猎兵||杀|43|26383,敌人1|杀戮猎兵||杀|42|20624,敌人1|杀戮猎兵||杀|43|30487,敌人1|杀戮猎兵||杀|43|30487,敌人1|杀戮猎兵||杀|44|38380,敌人2|黎明之炎腕||枪|60|91654,敌人2|双角兽之王||枪|53|166426,敌人1|杀戮猎兵||杀|45|47208
狩猎关卡 第7弹,斯芬克斯(种火),典位级,スフィンクス・ハント_典位級,敌人1|黑武者||剑|31|21132,敌人1|黑武者||剑|32|27040,敌人1|黑武者||剑|31|21132,敌人1|黑武者||剑|32|32274,敌人1|黑武者||剑|32|32274,敌人1|黑武者||剑|33|38669,敌人2|黎明之炎腕||术|60|88060,敌人1|黑武者||剑|34|47240,敌人2|斯芬克斯||术|47|164216
