章名称,名称cn,级别,名称jp,AP,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
复刻版：ApocryphaInheritance of Glory -Triumphal-,物资筹备(林),上级,物資調達(林)_上級,30,敌人1|那伽|逐至深渊之蛇|弓|17|13246,敌人1|蛇女|诱往黑暗之蛇|弓|20|10459,敌人1|蛇女|诱往黑暗之蛇|弓|20|10464,敌人1|蛇女|诱往黑暗之蛇|弓|23|30275,敌人1|那伽|逐至深渊之蛇|弓|19|21136,敌人1|那伽|逐至深渊之蛇|弓|18|21031,,敌人2|凝视者|追逐眼球|弓|32|156343,
复刻版：ApocryphaInheritance of Glory -Triumphal-,物资筹备(林),超级,物資調達(林)_超級,40,敌人1|蛇女|诱往黑暗之蛇|弓|31|15313,敌人1|那伽|逐至深渊之蛇|弓|26|13407,敌人1|那伽|逐至深渊之蛇|弓|26|13479,敌人1|那伽|逐至深渊之蛇|弓|28|31200,敌人1|蛇女|诱往黑暗之蛇|弓|35|40411,敌人1|蛇女|诱往黑暗之蛇|弓|28|31356,敌人1|蛇女|诱往黑暗之蛇|弓|38|53430,,敌人2|凝视者|追逐眼球|弓|44|194019
复刻版：ApocryphaInheritance of Glory -Triumphal-,物资筹备(洞窟),中级,物資調達(洞窟)_中級,20,敌人1|翅刃虫|洞穴虫|骑|9|9660,敌人1|翅刃虫|洞穴虫|骑|9|9714,敌人1|翅刃群虫|洞穴虫|骑|4|11319,敌人2|蝎狮|被遗忘之兽|骑|15|60314,敌人1|翅刃群虫|洞穴虫|骑|8|20554,敌人1|翅刃虫|洞穴虫|骑|15|20956,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,物资筹备(洞窟),上级,物資調達(洞窟)_上級,30,敌人1|翅刃虫|洞穴虫|骑|25|14203,敌人1|翅刃虫|洞穴虫|骑|26|14818,,敌人1|翅刃虫|洞穴虫|骑|28|23743,,敌人1|翅刃群虫|洞穴虫|骑|16|29350,敌人2|蝎狮|被遗忘之兽|骑|32|104405,敌人1|翅刃虫|洞穴虫|骑|30|38897,敌人1|翅刃群虫|洞穴虫|骑|17|37319
复刻版：ApocryphaInheritance of Glory -Triumphal-,物资筹备(洞窟),超级,物資調達(洞窟)_超級,40,敌人1|翅刃虫|洞穴虫|骑|38|21300,,敌人1|翅刃虫|洞穴虫|骑|37|20758,敌人1|翅刃群虫|洞穴虫|骑|26|40354,敌人1|翅刃虫|洞穴虫|骑|39|31015,敌人1|翅刃虫|洞穴虫|骑|39|30797,敌人2|蝎狮|被遗忘之兽|骑|45|138104,敌人1|翅刃群虫|洞穴虫|骑|27|52367,敌人1|翅刃群虫|洞穴虫|骑|27|53065
复刻版：ApocryphaInheritance of Glory -Triumphal-,物资筹备(森),超级,物資調達(森)_超級,40,敌人1|巴西利斯克|灌木蜥蜴|枪|40|26286,,敌人1|巴西利斯克|灌木蜥蜴|枪|41|26986,敌人1|巴西利斯克|灌木蜥蜴|枪|42|33146,敌人1|巴西利斯克|灌木蜥蜴|枪|40|31543,敌人1|巴西利斯克|灌木蜥蜴|枪|46|36200,敌人2|双角兽|无音之马|枪|44|174895,,敌人1|巴西利斯克|灌木蜥蜴|枪|50|58879
复刻版：ApocryphaInheritance of Glory -Triumphal-,物资筹备(森),绝级,物資調達(森)_絶級,40,敌人1|巴西利斯克|灌木蜥蜴|枪|48|28295,敌人1|巴西利斯克|灌木蜥蜴|枪|48|28295,敌人1|巴西利斯克|灌木蜥蜴|枪|45|29530,敌人1|巴西利斯克|灌木蜥蜴|枪|52|44261,敌人1|巴西利斯克|灌木蜥蜴|枪|51|43434,敌人1|巴西利斯克|灌木蜥蜴|枪|53|48556,敌人2|双角兽|无音之马|枪|50|222195,,敌人1|巴西利斯克|灌木蜥蜴|枪|55|71912
复刻版：ApocryphaInheritance of Glory -Triumphal-,物资筹备(森),天级,物資調達(森)_天級,40,敌人1|巴西利斯克|灌木蜥蜴|枪|57|31643,敌人1|巴西利斯克|灌木蜥蜴|枪|55|28764,敌人1|巴西利斯克|灌木蜥蜴|枪|58|37864,敌人1|巴西利斯克|灌木蜥蜴|枪|59|38500,敌人1|巴西利斯克|灌木蜥蜴|枪|58|42029,敌人1|巴西利斯克|灌木蜥蜴|枪|60|50878,敌人2|双角兽|无音之马|枪|57|233456,敌人1|巴西利斯克|灌木蜥蜴|枪|63|61663,敌人1|巴西利斯克|灌木蜥蜴|枪|63|61252
复刻版：ApocryphaInheritance of Glory -Triumphal-,物资筹备(山脊),超级,物資調達(山稜)_超級,40,敌人1|半人马||杀|40|20984,,敌人1|阿维斯布隆魔偶|魔偶|狂|40|22034,敌人1|半人马||杀|41|33511,敌人1|阿维斯布隆魔偶|魔偶|狂|45|40388,敌人1|阿维斯布隆魔偶|魔偶|狂|44|34418,,敌人2|许德拉|山廓之主|杀|65|206876,
复刻版：ApocryphaInheritance of Glory -Triumphal-,物资筹备(山脊),绝级,物資調達(山稜)_絶級,40,敌人1|半人马||杀|49|28452,,敌人1|半人马||杀|50|29016,敌人1|半人马||杀|55|43056,敌人1|阿维斯布隆魔偶|魔偶|狂|51|41273,敌人1|阿维斯布隆魔偶|魔偶|狂|50|36078,敌人1|阿维斯布隆魔偶|魔偶|狂|53|73447,,敌人2|许德拉|山廓之主|杀|75|238625
复刻版：ApocryphaInheritance of Glory -Triumphal-,物资筹备(山脊),天级,物資調達(山稜)_天級,40,敌人1|半人马||杀|58|29892,敌人1|阿维斯布隆魔偶|魔偶|狂|57|35148,敌人1|半人马||杀|58|29899,敌人1|半人马||杀|62|48465,敌人1|阿维斯布隆魔偶|魔偶|狂|58|43433,敌人1|阿维斯布隆魔偶|魔偶|狂|57|40404,敌人1|阿维斯布隆魔偶|魔偶|狂|60|85987,,敌人2|许德拉|山廓之主|杀|80|271298
复刻版：ApocryphaInheritance of Glory -Triumphal-,物资筹备(战场),超级,物資調達(戦場)_超級,40,敌人1|食尸鬼·嫉妒|彷徨亡者|剑|47|33029,,敌人1|食尸鬼|彷徨亡者|剑|38|30200,敌人1|食尸鬼·嫉妒|彷徨亡者|剑|51|63271,敌人1|食尸鬼|彷徨亡者|剑|40|61784,,敌人1|食尸鬼·暴食|彷徨亡者|剑|45|70725,,敌人2|守护者|战斗巨像|剑|42|205795
复刻版：ApocryphaInheritance of Glory -Triumphal-,物资筹备(战场),绝级,物資調達(戦場)_絶級,40,敌人1|食尸鬼·嫉妒|彷徨亡者|剑|49|41210,敌人1|食尸鬼·暴食|彷徨亡者|剑|42|48512,,敌人1|食尸鬼·暴食|彷徨亡者|剑|51|61347,敌人1|食尸鬼|彷徨亡者|剑|47|54826,敌人1|食尸鬼|彷徨亡者|剑|48|55179,敌人1|食尸鬼·嫉妒|彷徨亡者|剑|55|74480,,敌人2|守护者|战斗巨像|剑|49|203140
复刻版：ApocryphaInheritance of Glory -Triumphal-,物资筹备(战场),天级,物資調達(戦場)_天級,40,敌人1|食尸鬼|彷徨亡者|剑|56|42440,敌人1|食尸鬼·嫉妒|彷徨亡者|剑|58|46056,敌人1|食尸鬼·暴食|彷徨亡者|剑|46|52982,敌人1|食尸鬼·暴食|彷徨亡者|剑|47|61477,敌人1|食尸鬼·嫉妒|彷徨亡者|剑|62|56492,敌人1|食尸鬼|彷徨亡者|剑|59|54605,敌人1|食尸鬼·暴食|彷徨亡者|剑|65|84585,,敌人2|守护者|战斗巨像|剑|53|246715
复刻版：ApocryphaInheritance of Glory -Triumphal-,物资筹备(庭园),超级,物資調達(庭園)_超級,40,敌人1|雷电咒书|魔书|术|34|37815,敌人1|火焰咒书|魔书|术|32|28506,敌人1|火焰咒书|魔书|术|33|29869,敌人1|雷电咒书|魔书|术|34|45378,敌人1|雷电咒书|魔书|术|33|46028,敌人1|火焰咒书|魔书|术|36|53332,,敌人2|恶魔|书之魔物|术|37|180151,
复刻版：ApocryphaInheritance of Glory -Triumphal-,物资筹备(庭园),绝级,物資調達(庭園)_絶級,40,敌人1|雷电咒书|魔书|术|28|39466,敌人1|火焰咒书|魔书|术|26|36701,,敌人1|雷电咒书|魔书|术|28|41544,敌人1|雷电咒书|魔书|术|29|45148,敌人1|火焰咒书|魔书|术|28|41544,敌人1|火焰咒书|魔书|术|40|70983,敌人2|恶魔|书之魔物|术|42|204644,敌人1|火焰咒书|魔书|术|40|70983
复刻版：ApocryphaInheritance of Glory -Triumphal-,物资筹备(庭园),天级,物資調達(庭園)_天級,40,敌人1|雷电咒书|魔书|术|50|36925,敌人1|火焰咒书|魔书|术|47|26404,敌人1|火焰咒书|魔书|术|47|26821,敌人1|雷电咒书|魔书|术|50|45787,敌人1|雷电咒书|魔书|术|50|45049,敌人1|火焰咒书|魔书|术|53|56421,敌人1|火焰咒书|魔书|术|55|77209,敌人2|恶魔|书之魔物|术|49|238261,敌人1|雷电咒书|魔书|术|55|76802
复刻版：ApocryphaInheritance of Glory -Triumphal-,开膛手杰克击退战,幼龙级,ジャック・ザ・リッパー撃退戦_幼竜級,40,,敌人3|开膛手杰克|“黑”之Assassin|杀|36|260044,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,开膛手杰克击退战,成龙级,ジャック・ザ・リッパー撃退戦_成竜級,40,,敌人3|开膛手杰克|“黑”之Assassin|杀|63|450789,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,开膛手杰克击退战,邪龙级,ジャック・ザ・リッパー撃退戦_邪竜級,40,,敌人3|开膛手杰克|“黑”之Assassin|杀|72|680114,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,莎士比亚击退战,幼龙级,シェイクスピア撃退戦_幼竜級,40,,敌人3|威廉·莎士比亚|“红”之Caster|术|69|260011,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,莎士比亚击退战,成龙级,シェイクスピア撃退戦_成竜級,40,,敌人3|威廉·莎士比亚|“红”之Caster|术|75|450598,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,莎士比亚击退战,邪龙级,シェイクスピア撃退戦_邪竜級,40,,敌人3|威廉·莎士比亚|“红”之Caster|术|90|680300,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,阿维斯布隆击退战,幼龙级,アヴィケブロン撃退戦_幼竜級,40,,敌人3|阿维斯布隆|“黑”之Caster|术|58|260507,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,阿维斯布隆击退战,成龙级,アヴィケブロン撃退戦_成竜級,40,,敌人3|阿维斯布隆|“黑”之Caster|术|75|451233,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,阿维斯布隆击退战,邪龙级,アヴィケブロン撃退戦_邪竜級,40,,敌人3|阿维斯布隆|“黑”之Caster|术|90|679030,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,弗兰肯斯坦击退战,幼龙级,フランケンシュタイン撃退戦_幼竜級,40,,敌人3|弗兰肯斯坦|“黑”之Berserker|狂|30|280134,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,弗兰肯斯坦击退战,成龙级,フランケンシュタイン撃退戦_成竜級,40,,敌人3|弗兰肯斯坦|“黑”之Berserker|狂|54|451050,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,弗兰肯斯坦击退战,邪龙级,フランケンシュタイン撃退戦_邪竜級,40,,敌人3|弗兰肯斯坦|“黑”之Berserker|狂|62|688044,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,阿塔兰忒击退战,幼龙级,アタランテ撃退戦_幼竜級,40,,敌人3|阿塔兰忒|“红”之Archer|弓|60|260411,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,阿塔兰忒击退战,成龙级,アタランテ撃退戦_成竜級,40,,敌人3|阿塔兰忒|“红”之Archer|弓|76|450351,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,阿塔兰忒击退战,邪龙级,アタランテ撃退戦_邪竜級,40,,敌人3|阿塔兰忒|“红”之Archer|弓|85|696208,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,斯巴达克斯击退战,幼龙级,スパルタクス撃退戦_幼竜級,40,,敌人3|斯巴达克斯|“红”之Berserker|狂|58|280744,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,斯巴达克斯击退战,成龙级,スパルタクス撃退戦_成竜級,40,,敌人3|斯巴达克斯|“红”之Berserker|狂|80|441450,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,斯巴达克斯击退战,邪龙级,スパルタクス撃退戦_邪竜級,40,,敌人3|斯巴达克斯|“红”之Berserker|狂|90|673320,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,莫德雷德击退战,幼龙级,モードレッド撃退戦_幼竜級,40,,敌人3|莫德雷德|“红”之Saber|剑|35|260045,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,莫德雷德击退战,成龙级,モードレッド撃退戦_成竜級,40,,敌人3|莫德雷德|“红”之Saber|剑|62|453690,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,莫德雷德击退战,邪龙级,モードレッド撃退戦_邪竜級,40,,敌人3|莫德雷德|“红”之Saber|剑|71|683100,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,齐格飞击退战,幼龙级,ジークフリート撃退戦_幼竜級,40,,敌人3|齐格飞|“黑”之Saber|剑|49|260100,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,齐格飞击退战,成龙级,ジークフリート撃退戦_成竜級,40,,敌人3|齐格飞|“黑”之Saber|剑|71|448902,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,齐格飞击退战,邪龙级,ジークフリート撃退戦_邪竜級,40,,敌人3|齐格飞|“黑”之Saber|剑|90|679817,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,阿斯托尔福击退战,幼龙级,アストルフォ撃退戦_幼竜級,40,,敌人3|阿斯托尔福|“黑”之Rider|骑|53|260094,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,阿斯托尔福击退战,成龙级,アストルフォ撃退戦_成竜級,40,,敌人3|阿斯托尔福|“黑”之Rider|骑|73|454590,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,阿斯托尔福击退战,邪龙级,アストルフォ撃退戦_邪竜級,40,,敌人3|阿斯托尔福|“黑”之Rider|骑|81|677040,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,迦尔纳击退战,幼龙级,カルナ撃退戦_幼竜級,40,,敌人3|迦尔纳|“红”之Lancer|枪|29|260056,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,迦尔纳击退战,成龙级,カルナ撃退戦_成竜級,40,,敌人3|迦尔纳|“红”之Lancer|枪|65|456500,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,迦尔纳击退战,邪龙级,カルナ撃退戦_邪竜級,40,,敌人3|迦尔纳|“红”之Lancer|枪|71|692711,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,塞弥拉弥斯击退战,幼龙级,セミラミス撃退戦_幼竜級,40,,敌人3|塞弥拉弥斯|“红”之Assassin|杀|42|260068,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,塞弥拉弥斯击退战,成龙级,セミラミス撃退戦_成竜級,40,,敌人3|塞弥拉弥斯|“红”之Assassin|杀|54|449445,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,塞弥拉弥斯击退战,邪龙级,セミラミス撃退戦_邪竜級,40,,敌人3|塞弥拉弥斯|“红”之Assassin|杀|60|706716,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,弗拉德三世击退战,幼龙级,ヴラド三世撃退戦_幼竜級,40,,敌人3|弗拉德三世|“黑”之Lancer|枪|41|260089,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,弗拉德三世击退战,成龙级,ヴラド三世撃退戦_成竜級,40,,敌人3|弗拉德三世|“黑”之Lancer|枪|53|442566,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,弗拉德三世击退战,邪龙级,ヴラド三世撃退戦_邪竜級,40,,敌人3|弗拉德三世|“黑”之Lancer|枪|59|667182,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,拟态天之杯〔剑〕讨伐战,幼龙级,ヘブンズフィール・ミミクリー〔剣〕討伐戦_幼竜級,40,敌人3|齐格飞|“黑”之Saber|剑|69|102129,敌人2|拟态天之杯||剑|55|156263,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,拟态天之杯〔剑〕讨伐战,成龙级,ヘブンズフィール・ミミクリー〔剣〕討伐戦_成竜級,40,敌人3|齐格飞|“黑”之Saber|剑|71|177003,敌人2|拟态天之杯||剑|75|274265,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,拟态天之杯〔剑〕讨伐战,邪龙级,ヘブンズフィール・ミミクリー〔剣〕討伐戦_邪竜級,40,敌人3|齐格飞|“黑”之Saber|剑|90|274120,敌人2|拟态天之杯||剑|85|409111,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,拟态天之杯〔弓〕讨伐战,幼龙级,ヘブンズフィール・ミミクリー〔弓〕討伐戦_幼竜級,40,敌人3|喀戎|“黑”之Archer|弓|55|105658,敌人2|拟态天之杯||弓|55|156263,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,拟态天之杯〔弓〕讨伐战,成龙级,ヘブンズフィール・ミミクリー〔弓〕討伐戦_成竜級,40,敌人3|喀戎|“黑”之Archer|弓|75|182871,敌人2|拟态天之杯||弓|75|269912,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,拟态天之杯〔弓〕讨伐战,邪龙级,ヘブンズフィール・ミミクリー〔弓〕討伐戦_邪竜級,40,敌人3|喀戎|“黑”之Archer|弓|85|276338,敌人2|拟态天之杯||弓|85|409111,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,拟态天之杯〔枪〕讨伐战,幼龙级,ヘブンズフィール・ミミクリー〔槍〕討伐戦_幼竜級,40,敌人3|弗拉德三世|“黑”之Lancer|枪|41|103275,敌人2|拟态天之杯||枪|55|156103,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,拟态天之杯〔枪〕讨伐战,成龙级,ヘブンズフィール・ミミクリー〔槍〕討伐戦_成竜級,40,敌人3|弗拉德三世|“黑”之Lancer|枪|53|179010,敌人2|拟态天之杯||枪|75|269912,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,拟态天之杯〔枪〕讨伐战,邪龙级,ヘブンズフィール・ミミクリー〔槍〕討伐戦_邪竜級,40,敌人3|弗拉德三世|“黑”之Lancer|枪|59|272646,敌人2|拟态天之杯||枪|85|406647,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,拟态天之杯〔杀〕讨伐战,幼龙级,ヘブンズフィール・ミミクリー〔殺〕討伐戦_幼竜級,40,敌人3|开膛手杰克|“黑”之Assassin|杀|36|104107,敌人2|拟态天之杯||杀|55|156103,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,拟态天之杯〔杀〕讨伐战,成龙级,ヘブンズフィール・ミミクリー〔殺〕討伐戦_成竜級,40,敌人3|开膛手杰克|“黑”之Assassin|杀|63|180283,敌人2|拟态天之杯||杀|75|269912,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,拟态天之杯〔杀〕讨伐战,邪龙级,ヘブンズフィール・ミミクリー〔殺〕討伐戦_邪竜級,40,敌人3|开膛手杰克|“黑”之Assassin|杀|72|272964,敌人2|拟态天之杯||杀|85|406647,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,拟态天之杯〔狂〕讨伐战,幼龙级,ヘブンズフィール・ミミクリー〔狂〕討伐戦_幼竜級,40,敌人3|弗兰肯斯坦|“黑”之Berserker|狂|30|106362,敌人2|拟态天之杯||狂|55|156263,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,拟态天之杯〔狂〕讨伐战,成龙级,ヘブンズフィール・ミミクリー〔狂〕討伐戦_成竜級,40,敌人3|弗兰肯斯坦|“黑”之Berserker|狂|54|179633,敌人2|拟态天之杯||狂|75|274265,,,,,,,
复刻版：ApocryphaInheritance of Glory -Triumphal-,拟态天之杯〔狂〕讨伐战,邪龙级,ヘブンズフィール・ミミクリー〔狂〕討伐戦_邪竜級,40,敌人3|弗兰肯斯坦|“黑”之Berserker|狂|62|277723,敌人2|拟态天之杯||狂|85|409111,,,,,,,
