章名称,名称cn,名称jp,AP,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 木场,探偵調査_木場,40,敌人1|黑武者|无法之徒|剑|30|40779,敌人1|黑武者|无法之徒|剑|30|40779,敌人1|迷你信||剑|54|32216,敌人1|迷你信||剑|56|36908,敌人1|迷你信||剑|56|36908,敌人1|黑武者|无法之徒|剑|32|56698,敌人1|黑武者|无法之徒|剑|33|67446,敌人3|清姬|恋之纵火狂|狂|90|136056,敌人1|黑武者|无法之徒|剑|33|67446
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 目赤不动,探偵調査_目赤不動,40,敌人1|迷你信战车||弓|47|32131,敌人1|失心罪人|杀手|狂|49|41240,敌人1|失心罪人|杀手|狂|49|41240,敌人1|迷你信战车||弓|49|36246,敌人1|失心罪人|杀手|狂|51|55591,敌人1|迷你信战车||弓|49|36246,敌人1|失心罪人|杀手|狂|53|65577,敌人1|失心罪人|杀手|狂|53|65577,敌人3|幼吉尔|少爷|弓|90|137160
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 目黄不动,探偵調査_目黄不動,40,敌人1|金之巨大信||杀|51|32600,敌人1|鬼魂|古井之灵|杀|48|39739,敌人1|恐怖鬼魂|古屋之灵|杀|40|43580,敌人1|鬼魂|古井之灵|杀|50|55130,敌人1|金之巨大信||杀|53|36918,敌人1|金之巨大信||杀|53|36918,敌人1|古代鬼魂|古墓地之灵|杀|38|71880,敌人3|静谧哈桑|毒馒头阿静|杀|90|138192,敌人1|恐怖鬼魂|古屋之灵|杀|37|59970
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 圣杯研究所,探偵調査_聖杯研究所,40,敌人1|金之机械信||狂|48|32835,敌人1|英灵兵||术|39|42205,敌人1|英灵兵||术|39|42205,敌人1|金之机械信||狂|50|35607,敌人1|英灵兵||术|41|57716,敌人1|金之机械信||狂|50|35607,敌人1|英灵兵||术|43|66529,敌人1|英灵兵||术|43|66529,敌人3|冯·霍恩海姆·帕拉塞尔苏斯|可疑的药贩子|术|90|141096
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 里·新宿,探偵調査_裏・新宿,40,敌人1|魔猪|普通的猪|狂|50|33911,敌人1|魔猪|普通的猪|狂|50|33911,敌人1|银之巨大信||狂|58|28637,敌人1|银之巨大信||狂|60|32888,敌人1|魔猪|普通的猪|狂|52|52971,敌人1|银之巨大信||狂|60|32888,敌人3|岩窟王|谜之传教士|仇|57|197671,,敌人2|巨大魔猪|肆虐猪脚|狂|35|127751
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 里·目白不动,探偵調査_裏・目白不動,40,敌人1|信选组|阿尔信|剑|44|23489,敌人1|黑武者|无法之徒|剑|33|31474,敌人1|黑武者|无法之徒|剑|33|31474,敌人1|黑武者|无法之徒|剑|35|47663,敌人1|信选组|阿尔信|剑|46|35056,敌人1|信选组|阿尔信|剑|46|35056,敌人2|噬魂者|被抛弃的宠物|剑|50|113785,敌人3|阿尔托莉雅·潘德拉贡〔Alter〕|边走边吃的女孩|剑|85|219636,
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 里·目赤不动,探偵調査_裏・目赤不動,40,敌人1|迷你信|卫信|弓|42|23639,敌人1|近代兵|莽汉|弓|67|31279,敌人1|近代兵|莽汉|弓|67|31279,敌人1|迷你信|卫信|弓|44|30931,敌人1|近代兵|莽汉|弓|70|50694,敌人1|迷你信|卫信|弓|44|30931,敌人3|卫宫〔Alter〕|正巧路过的厨子|弓|90|243828,敌人2|凝视者|眼球怪|弓|45|100449,
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 里·目青不动,探偵調査_裏・目青不動,40,敌人1|失心罪人|杀手|狂|53|31477,敌人1|失心罪人|杀手|狂|53|31477,敌人1|金之迷你信|库信|枪|41|27031,敌人1|失心罪人|杀手|狂|55|51668,敌人1|金之迷你信|库信|枪|43|31474,敌人1|金之迷你信|库信|枪|43|31474,敌人3|伊丽莎白·巴托里|隐藏身份的偶像|枪|90|216579,,敌人2|大蛇|三轩茶屋之主|枪|60|132422
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 里·目黄不动,探偵調査_裏・目黄不動,40,敌人1|流氓|地产商|术|51|29044,敌人1|流氓|地产商|术|51|29044,敌人1|信UFO|美狄信|术|40|29280,敌人1|信UFO|美狄信|术|42|33592,敌人1|信UFO|美狄信|术|42|33592,敌人1|流氓|地产商|术|53|45225,敌人2|恶魔|外道本尊（古董品）|术|42|112554,敌人3|库·丘林(Caster)|街角的占卜师|术|90|225720,
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 里·坂本侦探事务所,探偵調査_裏・坂本探偵事務所,40,敌人1|迷你信战车|美杜信|骑|42|25452,敌人1|灰狼|流浪狗|骑|56|29536,敌人1|灰狼|流浪狗|骑|56|29536,敌人1|灰狼|流浪狗|骑|58|42108,敌人1|迷你信战车|美杜信|骑|46|31655,敌人1|迷你信战车|美杜信|骑|46|31655,敌人3|弗朗西斯·德雷克|暴风之暴饮船长（再吊销执照）|骑|82|231588,敌人2|双角兽|大闹的马|骑|45|116930,
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 里·目黑不动,探偵調査_裏・目黒不動,40,敌人1|银之机械信|哈信|杀|43|26383,敌人1|恐怖鬼魂|古屋之灵|杀|44|29985,敌人1|恐怖鬼魂|古屋之灵|杀|44|29985,敌人1|古代鬼魂|古墓之灵|杀|40|54023,敌人1|银之机械信|哈信|杀|45|30655,敌人1|银之机械信|哈信|杀|45|30655,敌人3|克娄巴特拉|著名女演员|杀|85|223125,,敌人2|巨大鬼魂|古战场之灵|杀|75|121761
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 里·芝公园,探偵調査_裏・芝公園,40,敌人1|英灵兵||术|43|30240,敌人1|英灵兵||术|43|30240,敌人1|巨大信|赫拉信|狂|45|35766,敌人1|巨大信|赫拉信|狂|47|43074,敌人1|英灵兵||术|45|44272,敌人1|巨大信|赫拉信|狂|47|43074,敌人3|茨木童子|芝木童子|狂|90|236203,敌人2|斯芬克斯|迷路的斯芬克斯|术|42|102322,
