章名称,名称cn,级别,名称jp,AP,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
复刻：拜见！ 拉斯维加斯御前比试～泳装剑豪七色决胜！ 轻量版,游玩卡美洛轮盘赌,新手级,キャメロットルーレットで遊ぶ_ビギナー級,40,敌人1|斩首鸡|维加斯神鹫|枪|25|18922,敌人1|斩首鸡|维加斯神鹫|枪|20|13209,敌人1|斩首鸡|维加斯神鹫|枪|20|13209,敌人1|斩首鸡|维加斯神鹫|枪|28|28111,敌人1|肃正骑士|扑克骑士|枪|20|26805,敌人1|斩首鸡|维加斯神鹫|枪|29|29080,敌人1|肃正骑士|扑克骑士|枪|23|46405,敌人3|列奥尼达一世|裸身单口谐星|枪|60|86040,敌人1|舞动的硬币|舞动的硬币（追加）|枪|20|18425
复刻：拜见！ 拉斯维加斯御前比试～泳装剑豪七色决胜！ 轻量版,游玩卡美洛轮盘赌,常客级,キャメロットルーレットで遊ぶ_レギュラー級,40,敌人1|肃正骑士|扑克骑士|杀|30|20134,敌人1|斩首鸡|维加斯神鹫|杀|40|31808,敌人1|斩首鸡|维加斯神鹫|杀|39|31808,敌人1|斩首鸡|维加斯神鹫|杀|42|73118,敌人1|肃正骑士|扑克骑士|杀|31|40690,敌人2|龙|老虎机之龙|杀|45|81540,敌人1|肃正骑士|扑克骑士|杀|34|57166,敌人3|新宿的Assassin|慎重的拳法家|杀|77|104975,敌人1|舞动的硬币|舞动的硬币（追加）|枪|35|31686
复刻：拜见！ 拉斯维加斯御前比试～泳装剑豪七色决胜！ 轻量版,游玩卡美洛轮盘赌,VIP级,キャメロットルーレットで遊ぶ_VIP級,40,敌人1|斩首鸡|维加斯神鹫|枪|56|83025,敌人1|斩首鸡|维加斯神鹫|枪|52|69525,敌人1|斩首鸡|维加斯神鹫|枪|52|69525,敌人1|肃正骑士|扑克骑士|枪|43|57862,敌人1|肃正骑士|扑克骑士|枪|44|59195,敌人2|巨龙|轮盘赌之龙|枪|60|150068,敌人1|肃正骑士|扑克骑士|枪|47|82152,敌人3|秦良玉|好运的女武将|枪|80|200805,敌人1|舞动的硬币|舞动的硬币（追加）|枪|45|40497
复刻：拜见！ 拉斯维加斯御前比试～泳装剑豪七色决胜！ 轻量版,游玩卡美洛轮盘赌,百万富翁级,キャメロットルーレットで遊ぶ_ミリオネア級,40,敌人2|长老龙|百家乐之龙|杀|89|143027,,敌人2|长老龙|百家乐之龙|杀|90|144608,敌人1|斩首鸡|维加斯神鹫|杀|64|18943,,敌人1|肃正骑士|扑克骑士|杀|51|34329,敌人3|静谧哈桑|幸运女孩|杀|70|180614,敌人1|舞动的硬币|舞动的硬币（追加）|枪|57|51054,敌人3|百貌哈桑|不幸假面|杀|70|181545
复刻：拜见！ 拉斯维加斯御前比试～泳装剑豪七色决胜！ 轻量版,游玩水天宫老虎机,新手级,水天宮スロットで遊ぶ_ビギナー級,40,敌人1|毒寄居蟹|刷洗螃蟹|弓|8|10702,敌人1|大寄居蟹|保养螃蟹|弓|11|7634,敌人1|大寄居蟹|保养螃蟹|弓|10|6941,敌人1|大寄居蟹|保养螃蟹|弓|11|9924,敌人1|毒寄居蟹|刷洗螃蟹|弓|10|14742,敌人1|大寄居蟹|保养螃蟹|弓|11|9924,敌人1|毒寄居蟹|刷洗螃蟹|弓|15|26410,敌人3|Archer Inferno|沉迷的御前|弓|28|42600,敌人1|舞动的硬币|舞动的硬币（追加）|枪|20|18425
复刻：拜见！ 拉斯维加斯御前比试～泳装剑豪七色决胜！ 轻量版,游玩水天宫老虎机,常客级,水天宮スロットで遊ぶ_レギュラー級,40,敌人1|大寄居蟹|保养螃蟹|弓|30|10816,敌人1|大寄居蟹|保养螃蟹|弓|32|16791,敌人1|大寄居蟹|保养螃蟹|弓|31|10790,敌人1|毒寄居蟹|刷洗螃蟹|弓|25|23660,敌人2|双角兽|滑冰角兽|弓|31|51610,敌人1|毒寄居蟹|刷洗螃蟹|弓|26|22695,敌人1|毒寄居蟹|刷洗螃蟹|弓|28|32539,敌人3|喀戎|中微奖的青年|弓|67|86797,敌人1|舞动的硬币|舞动的硬币（追加）|枪|25|22875
复刻：拜见！ 拉斯维加斯御前比试～泳装剑豪七色决胜！ 轻量版,游玩水天宫老虎机,VIP级,水天宮スロットで遊ぶ_VIP級,40,敌人1|大寄居蟹|保养螃蟹|弓|43|27981,敌人1|毒寄居蟹|刷洗螃蟹|弓|30|43524,敌人1|大寄居蟹|保养螃蟹|弓|44|28611,敌人1|大寄居蟹|保养螃蟹|弓|45|35089,敌人2|双角兽之王|花滑角兽|弓|33|74000,敌人1|毒寄居蟹|刷洗螃蟹|弓|35|50791,敌人1|毒寄居蟹|刷洗螃蟹|弓|37|61687,敌人3|尼古拉·特斯拉|雷电老虎机玩家|弓|71|127140,敌人1|舞动的硬币|舞动的硬币（追加）|枪|38|34304
复刻：拜见！ 拉斯维加斯御前比试～泳装剑豪七色决胜！ 轻量版,游玩三六豹子,新手级,地下チンチロで遊ぶ_ビギナー級,40,敌人1|小鬼|末等鬼|骑|14|9162,敌人1|小鬼|末等鬼|骑|16|11935,敌人1|小鬼|末等鬼|骑|14|9162,敌人1|小鬼|末等鬼|骑|23|17768,敌人1|小鬼|末等鬼|骑|20|13193,敌人1|小鬼|末等鬼|骑|20|13193,敌人1|小鬼|末等鬼|骑|30|26653,敌人3|亚历山大|掷骰子的王子|骑|37|55083,敌人1|舞动的硬币|舞动的硬币（追加）|枪|15|14062
复刻：拜见！ 拉斯维加斯御前比试～泳装剑豪七色决胜！ 轻量版,游玩三六豹子,常客级,地下チンチロで遊ぶ_レギュラー級,40,敌人1|小鬼|末等鬼|骑|42|13764,敌人1|醉酒城里人|拾金必昧的武士|骑|40|15804,敌人1|小鬼|末等鬼|骑|41|10294,敌人1|小鬼|末等鬼|骑|45|21580,敌人2|奇美拉|节日奇美拉|骑|30|65408,敌人1|醉酒城里人|拾金必昧的武士|骑|52|20152,敌人1|醉酒城里人|拾金必昧的武士|骑|55|37135,敌人3|布狄卡|胜利之母|骑|70|96235,敌人1|舞动的硬币|舞动的硬币（追加）|枪|26|23747
复刻：拜见！ 拉斯维加斯御前比试～泳装剑豪七色决胜！ 轻量版,游玩三六豹子,VIP级,地下チンチロで遊ぶ_VIP級,40,敌人1|醉酒城里人|拾金必昧的武士|骑|60|34506,敌人1|小鬼|末等鬼|骑|55|31293,敌人1|醉酒城里人|拾金必昧的武士|骑|58|33438,敌人1|小鬼|末等鬼|骑|58|43864,敌人2|白色奇美拉|宴会奇美拉|骑|35|118923,敌人1|小鬼|末等鬼|骑|58|43864,敌人1|醉酒城里人|拾金必昧的武士|骑|68|64730,敌人3|巴沙洛缪·罗伯茨|内行海盗|骑|80|162203,敌人1|舞动的硬币|舞动的硬币（追加）|枪|40|36048
复刻：拜见！ 拉斯维加斯御前比试～泳装剑豪七色决胜！ 轻量版,游玩三六豹子,百万富翁级,地下チンチロで遊ぶ_ミリオネア級,40,敌人1|小鬼|末等鬼|骑|78|36415,,敌人1|醉酒城里人|拾金必昧的武士|骑|86|32376,,敌人2|超级奇美拉|续摊奇美拉|骑|63|183631,,,敌人3|魁札尔·科亚特尔|常胜的女神|骑|90|453600,敌人1|舞动的硬币|舞动的硬币（追加）|枪|57|51054
